Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,9.31,9.42,9.10,9.26,369600,7.272388
2013-03-01,7.92,9.97,7.51,9.33,203500,7.327363
2013-02-01,8.38,8.55,7.54,7.96,164200,6.208191
2013-01-02,7.47,9.15,7.30,8.35,181500,6.45709
2012-12-03,7.82,7.85,6.95,7.31,246100,5.609013
2012-11-01,6.79,8.56,6.61,7.86,261700,5.981195
2012-10-01,6.61,7.29,6.21,6.65,286800,5.028035
2012-09-04,6.04,7.01,5.71,6.59,297900,4.982669
2012-08-01,7.67,7.87,5.82,6.09,317100,4.600504
2012-07-02,7.90,7.90,7.17,7.73,214100,5.826476
2012-06-01,6.61,8.14,6.42,7.81,446300,5.859305
2012-05-01,13.30,14.25,6.48,6.78,986300,5.051243
2012-04-02,14.62,14.62,12.29,13.26,337700,9.802432
2012-03-01,14.74,15.40,14.30,14.68,236500,10.800448
2012-02-01,15.14,15.78,14.55,14.77,307600,10.811119
2012-01-03,19.01,19.209999,13.82,15.07,599100,10.968706
2011-12-01,21.43,21.540001,18.709999,18.84,173800,13.639639
2011-11-01,21.370001,22.530001,20.879999,21.43,108600,15.444027
2011-10-03,21.07,22.33,19.23,21.719999,143800,15.570755
2011-09-01,22.780001,22.950001,21.110001,21.280001,124500,15.167819
2011-08-01,22.889999,23.00,19.51,22.84,170800,16.182432
2011-07-01,22.77,23.84,22.389999,22.629999,108900,15.945333
2011-06-01,23.17,23.17,21.379999,22.74,96500,15.93601
2011-05-02,23.950001,23.959999,21.35,23.00,178700,16.02104
2011-04-01,23.93,24.25,22.50,23.959999,156200,16.59947
2011-03-01,21.959999,24.67,20.50,23.780001,210100,16.404808
2011-02-01,21.60,21.969999,20.860001,21.90,168900,15.034823
2011-01-03,20.67,22.10,20.309999,21.450001,180000,14.642899
2010-12-01,20.639999,20.99,19.889999,20.52,161800,13.94742
2010-11-01,20.00,21.65,19.690001,20.51,204800,13.869987
2010-10-01,20.15,21.00,19.389999,19.93,181500,13.424234
2010-09-01,18.35,20.389999,18.190001,19.99,199300,13.385406
2010-08-02,21.219999,21.389999,18.01,18.139999,177200,12.064169
2010-07-01,18.84,21.27,18.469999,20.950001,181200,13.854502
2010-06-01,18.719999,22.129999,18.34,18.98,380300,12.476823
2010-05-03,19.15,20.01,16.90,18.709999,353500,12.223471
2010-04-01,16.58,19.469999,16.58,18.879999,354600,12.234507
2010-03-01,17.860001,18.65,15.00,16.540001,334400,10.606293
2010-02-01,16.75,18.190001,16.139999,17.809999,198800,11.32134
2010-01-04,16.35,18.059999,16.35,16.620001,202200,10.481768
2009-12-01,16.129999,17.08,15.45,16.08,231100,10.064334
2009-11-02,16.379999,17.629999,15.85,16.09,201000,10.004928
2009-10-01,17.90,18.40,16.10,16.299999,257400,10.088192
2009-09-01,14.84,19.049999,14.54,17.91,374900,11.022591
2009-08-03,13.24,15.03,13.24,14.65,269800,8.968521
2009-07-01,14.80,14.80,11.96,13.08,240100,7.972004
2009-06-01,14.00,15.02,13.05,14.46,232700,8.774708
2009-05-01,10.60,14.49,10.50,13.88,287200,8.394753
2009-04-01,9.40,11.33,9.26,10.60,290100,6.396533
2009-03-02,9.63,10.65,7.29,9.56,328500,5.751966
2009-02-02,12.96,13.80,9.04,9.93,339200,5.94655
2009-01-02,15.95,18.08,13.00,13.06,331900,7.774935
2008-12-01,19.299999,19.790001,14.00,16.049999,318500,9.53295
2008-11-03,24.74,25.25,17.780001,20.24,278800,11.998389
2008-10-01,26.66,27.290001,16.52,25.00,505000,14.72193
2008-09-02,29.959999,31.60,24.50,26.84,320300,15.605708
2008-08-01,31.610001,32.279999,27.719999,30.98,310600,17.761042
2008-07-01,37.00,37.650002,29.75,31.57,363800,17.907825
2008-06-02,33.380001,37.860001,32.310001,37.00,274100,20.747149
2008-05-01,28.889999,34.00,28.790001,33.419998,277300,18.580978
2008-04-01,27.59,30.65,27.139999,28.940001,229900,15.943151
2008-03-03,28.60,29.85,25.85,27.58,274900,15.078448
2008-02-01,25.40,29.00,24.49,28.25,225000,15.334905
2008-01-02,22.52,25.690001,22.52,25.559999,197000,13.78059
2007-12-03,22.75,23.450001,21.93,22.43,185100,12.019682
2007-11-01,24.25,25.389999,22.66,23.00,157600,12.253983
2007-10-01,23.57,25.40,23.290001,24.389999,131300,12.938641
2007-09-04,23.690001,25.280001,22.25,23.639999,115600,12.47067
2007-08-01,24.290001,25.73,10.00,23.690001,155300,12.42675
2007-07-02,25.00,26.83,23.60,24.040001,199800,12.534
2007-06-01,27.200001,28.25,24.709999,25.23,169000,13.063534
2007-05-01,26.10,27.700001,26.00,27.219999,179000,14.025553
2007-04-02,25.18,26.85,24.309999,26.60,164000,13.593719
2007-03-01,24.299999,25.35,23.42,25.18,151400,12.782642
2007-02-01,24.99,25.50,24.00,24.389999,144400,12.335814
2007-01-03,24.84,25.25,22.610001,25.190001,266100,12.654307
2006-12-01,27.799999,28.200001,24.459999,24.60,330200,12.285872
2006-11-01,25.690001,27.90,25.450001,27.889999,206100,13.904284
2006-10-02,26.50,26.84,24.15,25.75,186400,12.773222
2006-09-01,28.15,28.16,24.299999,26.35,243700,12.98873
2006-08-01,31.25,31.85,27.879999,28.26,210500,13.855241
2006-07-03,29.60,31.50,28.00,31.10,246300,15.18467
2006-06-01,27.780001,30.540001,27.00,29.700001,395800,14.41996
2006-05-01,27.639999,30.90,25.049999,27.68,861600,13.360047
2006-04-03,31.209999,32.200001,27.200001,27.65,351600,13.259243
2006-03-01,34.23,34.450001,29.27,31.129999,151000,14.83467
2006-02-01,39.00,39.00,33.349998,34.220001,102700,16.155682
2006-01-03,37.91,38.98,35.459999,38.52,80300,18.043711
2005-12-01,36.27,38.779999,36.07,37.91,55600,17.581638
2005-11-01,34.459999,36.400002,31.030001,36.049999,75500,16.565542
2005-10-03,40.450001,41.799999,32.50,34.57,123200,15.765263
2005-09-01,36.439999,41.84,35.060001,40.450001,71000,18.349522
2005-08-01,30.99,36.57,30.99,36.439999,96500,16.439867
2005-07-01,30.360001,31.99,29.799999,30.90,72000,13.868627
2005-06-01,27.309999,31.049999,27.299999,30.34,86500,13.524861
2005-05-02,26.99,28.50,24.879999,27.35,72200,12.105637
2005-04-01,29.610001,30.48,25.43,26.950001,92100,11.845088
2005-03-01,30.35,32.189999,27.530001,29.49,109900,12.886366
2005-02-01,26.42,30.709999,26.42,30.639999,149800,13.29975
2005-01-03,26.10,26.51,23.719999,26.35,179100,11.356967
2004-12-01,29.10,29.35,24.75,26.200001,137100,11.186315
2004-11-01,28.549999,29.950001,26.379999,29.120001,110500,12.350494
2004-10-01,27.90,29.950001,26.50,28.50,127100,12.026734
2004-09-01,24.049999,28.25,24.01,28.049999,87100,11.756999
2004-08-02,25.74,26.23,23.450001,24.25,123500,10.089727
2004-07-01,23.059999,25.690001,22.85,25.610001,61300,10.568808
2004-06-01,22.299999,24.40,22.16,22.860001,97000,9.36375
2004-05-03,21.799999,22.799999,19.60,22.120001,111100,9.00616
2004-04-01,22.00,23.07,21.40,21.799999,107700,8.817764
2004-03-01,20.00,22.10,19.780001,21.969999,83600,8.822825
2004-02-02,19.120001,19.99,17.10,19.950001,137900,7.938791
2004-01-02,22.049999,22.540001,18.75,19.18,151000,7.574706
2003-12-01,21.200001,23.41,21.16,21.879999,108100,8.583858
